Sensor,Hora
40643,14:40:25
40635,14:40:26
40627,14:40:27
40616,14:40:28
40611,14:40:29
40606,14:40:30
40590,14:40:31
40579,14:40:32
40566,14:40:33
40566,14:40:34
40553,14:40:35
40545,14:40:36
40540,14:40:37
40521,14:40:38
40516,14:40:39
40516,14:40:40
40518,14:40:41
40505,14:40:42
40508,14:40:43
40497,14:40:44
40490,14:40:45
40492,14:40:46
40482,14:40:47
40474,14:40:48
40466,14:40:49
40458,14:40:50
40450,14:40:51
40445,14:40:52
40431,14:40:53
40429,14:40:54
40418,14:40:55
40416,14:40:56
40413,14:40:57
40392,14:40:58
40392,14:41:00
40384,14:41:01
40378,14:41:02
40368,14:41:03
40357,14:41:04
40349,14:41:05
40336,14:41:06
40331,14:41:07
40326,14:41:08
40326,14:41:09
40323,14:41:10
40310,14:41:11
40313,14:41:12
40291,14:41:13
40291,14:41:14
40283,14:41:15
40278,14:41:16
40268,14:41:17
40260,14:41:18
40252,14:41:19
40249,14:41:20
40249,14:41:21
40236,14:41:22
40228,14:41:23
40223,14:41:24
40212,14:41:25
40210,14:41:26
40210,14:41:27
40207,14:41:28
40199,14:41:29
40199,14:41:30
40186,14:41:31
40181,14:41:32
40181,14:41:33
40175,14:41:34
40178,14:41:35
40167,14:41:36
40167,14:41:37
40157,14:41:38
40154,14:41:39
40157,14:41:40
40141,14:41:41
40136,14:41:43
40133,14:41:44
40125,14:41:45
40115,14:41:46
40101,14:41:47
40102,14:41:48
40091,14:41:49
40072,14:41:50
40075,14:41:51
40065,14:41:52
40062,14:41:53
40051,14:41:54
40044,14:41:55
40046,14:41:56
40025,14:41:57
40023,14:41:58
40015,14:41:59
40007,14:42:00
39991,14:42:01
39980,14:42:02
39975,14:42:03
39965,14:42:04
39957,14:42:05
39949,14:42:06
39946,14:42:07
39941,14:42:08
39933,14:42:09
39923,14:42:10
39909,14:42:11
39904,14:42:12
39899,14:42:13
39891,14:42:14
39878,14:42:15
39878,14:42:16
39865,14:42:17
39865,14:42:18
39860,14:42:19
39844,14:42:20
39844,14:42:21
39844,14:42:22
39839,14:42:23
39834,14:42:24
39834,14:42:25
39826,14:42:27
39818,14:42:28
39818,14:42:29
39807,14:42:30
39799,14:42:31
39799,14:42:32
39786,14:42:33
39784,14:42:34
39784,14:42:35
39779,14:42:36
39763,14:42:37
39765,14:42:38
39768,14:42:39
39757,14:42:40
39760,14:42:41
39750,14:42:42
39742,14:42:43
39734,14:42:44
39729,14:42:45
39716,14:42:46
39713,14:42:47
39705,14:42:48
39700,14:42:49
39692,14:42:50
39684,14:42:51
39674,14:42:52
39671,14:42:53
39668,14:42:54
39653,14:42:55
39658,14:42:56
39645,14:42:57
39637,14:42:58
39624,14:42:59
39621,14:43:00
39603,14:43:01
39598,14:43:02
39587,14:43:03
39582,14:43:04
39566,14:43:05
39579,14:43:06
39569,14:43:07
39553,14:43:08
39550,14:43:10
39540,14:43:11
39532,14:43:12
39530,14:43:13
39519,14:43:14
39511,14:43:15
39501,14:43:16
39490,14:43:17
39490,14:43:18
39472,14:43:19
39464,14:43:20
39451,14:43:21
39443,14:43:22
39440,14:43:23
39430,14:43:24
39430,14:43:25
39425,14:43:26
39417,14:43:27
39409,14:43:28
39404,14:43:29
39393,14:43:30
39386,14:43:31
39386,14:43:32
39373,14:43:33
39367,14:43:34
39357,14:43:35
39352,14:43:36
39347,14:43:37
39341,14:43:38
39328,14:43:39
39318,14:43:40
39313,14:43:41
39305,14:43:42
39291,14:43:43
39286,14:43:44
39276,14:43:45
39271,14:43:46
39263,14:43:47
39260,14:43:48
39260,14:43:49
39250,14:43:50
39239,14:43:51
39229,14:43:52
39229,14:43:54
39232,14:43:55
39221,14:43:56
39210,14:43:57
39208,14:43:58
39213,14:43:59
39200,14:44:00
39187,14:44:01
39185,14:44:02
39177,14:44:03
